Gene
ILMN_1695900	TNFSF11
ILMN_1684802	TAF5
ILMN_1746368	SELT
ILMN_1723198	CDKN2B
ILMN_1670111	CDKN2B
ILMN_1765621	HDGF
ILMN_1659601	CCL26
ILMN_1671791	PCK2
ILMN_1770768	SLAMF1
ILMN_1737394	LMNA
ILMN_1696749	LMNA
ILMN_1665510	ERRFI1
ILMN_1844038	ZRANB2-AS2
ILMN_1747397	SLC7A8
ILMN_1807894	SLC7A8
ILMN_1763809	IRS2
ILMN_1702443	DNMBP
ILMN_1740493	TRAF5
ILMN_1699447	TRAF5
ILMN_1758337	ZNF213
ILMN_1784863	CD36
ILMN_1780057	RENBP
ILMN_1789011	SYNGR2
ILMN_1735304	SDC1
ILMN_1699829	CTGF
ILMN_1682762	IDH3G
ILMN_1799614	PNPLA6
ILMN_1812747	MAPK3
ILMN_1656079	KCNQ1
ILMN_1697448	TXNIP
ILMN_1774869	SLC30A8
ILMN_1685625	UCP2
ILMN_1695480	KCNQ1
ILMN_1806150	KCNQ1
ILMN_1670918	INSR
ILMN_1667018	ACE2
ILMN_1724643	CD3D
ILMN_1661266	HLA-DQB1
ILMN_1714861	CD68
ILMN_1681374	ALDOA
ILMN_1757454	A2ML1
ILMN_1830713	CFTR
ILMN_1742689	TRPC4AP
ILMN_1749147	NPHS1
ILMN_1654376	CARD8
ILMN_1763641	ZNF614
ILMN_1652357	PDHX
ILMN_1721022	SHC1
ILMN_1704063	KCNH3
ILMN_1729515	PIN4
ILMN_1672486	TCF7L2
ILMN_1803030	NOS1
ILMN_1741970	JUP
ILMN_1733811	JUP
ILMN_1744295	CDKN2A
ILMN_1722158	CASP5
ILMN_1804922	IGF2
ILMN_1656300	GFRA2
ILMN_1888637	NOS1
ILMN_1751963	ZCWPW1
ILMN_1709800	POMZP3
ILMN_1741801	CDC7
ILMN_1662383	ZRANB2
ILMN_1711566	TIMP1
ILMN_1681526	SLC5A1
ILMN_1706216	SOCS4
ILMN_1753795	SOCS4
ILMN_1677104	TRAF5
ILMN_1716583	NME7
ILMN_1726679	KCNJ11
ILMN_1793101	PAX4
ILMN_1655570	GOLPH3L
ILMN_1718822	STYXL1
ILMN_1712522	CEACAM6
ILMN_1842181	NCK1-AS1
ILMN_1812297	CYP26B1
ILMN_1699100	SOAT1
ILMN_1703015	ZRANB2
ILMN_1748797	GRB2
ILMN_1709613	IGF1
ILMN_1741976	SMARCAD1
ILMN_1768363	BAP1
ILMN_1672768	UCP1
ILMN_1768049	FOXP3
ILMN_1804169	SHARPIN
ILMN_1651611	LDLR
ILMN_1784292	ANKMY2
ILMN_1664779	FBXO18
ILMN_1741264	MRPS33
ILMN_1791236	AIRE
ILMN_1702447	IGF2BP2
ILMN_1698546	HNF4A
ILMN_1786903	CTNNB1
ILMN_1670079	OMA1
ILMN_1807719	CTNS
ILMN_1659988	CTNS
ILMN_1769789	MLIP
ILMN_1700353	TRAF6
ILMN_1783910	TRAF6
ILMN_1775999	ATAT1
ILMN_1760037	ATAT1
ILMN_1659346	PPARA
ILMN_1700488	PPARA
ILMN_1659077	CD40LG
ILMN_1795826	ATP6V0D1
ILMN_1657129	SKAP2
ILMN_1747204	HTRA2
ILMN_1796094	CD36
ILMN_1730848	KRT18
ILMN_1750062	PPARGC1A
ILMN_1763487	CTLA4
ILMN_1660063	POLE4
ILMN_1679901	PPARG
ILMN_1800225	PPARG
ILMN_1678454	CASP4
ILMN_1774585	CASP4
ILMN_1916675	LRRFIP1
ILMN_1720048	CCL2
ILMN_1883348	IRS1
ILMN_1749070	HLA-DPB1
ILMN_1730928	CDK5R1
ILMN_1664978	TJP2
ILMN_1763972	TJP2
ILMN_1720578	PRAF2
ILMN_1777325	STAT1
ILMN_1652040	KCTD2
ILMN_1869718	PTEN
ILMN_1904242	CD9
ILMN_1654151	COX6C
ILMN_1661537	LEPROT
ILMN_1762095	TMTC4
ILMN_1746396	CTNNB1
ILMN_1695640	PTPN22
ILMN_1696521	EGFR
ILMN_1803814	LRRFIP1
ILMN_1806408	ACADVL
ILMN_1778337	HNF1B
ILMN_1663561	HNF1B
ILMN_1803810	RRBP1
ILMN_1810423	RPP40
